"Niche","Cluster_name","n_samples","Genus","mean_abundance","sd_abundance","min_abundance","max_abundance"
"Nose","Mix",72,"g__Romboutsia",0.03444582604915,0.139182917079297,0,0.999431594595776
"Nose","Mix",72,"g__Pseudomonas",0.0287337207665891,0.097270835264117,0,0.657871095253985
"Nose","Mor1",172,"g__Moraxella",0.686805659547859,0.223534350607691,0,1
"Nose","Mor1",172,"g__Dolosigranulum",0.0898292567741445,0.12749324640962,0,0.480970023576962
"Nose","Mor1",172,"g__Streptococcus",0.045223603389207,0.093314545065367,0,0.472997634335924
"Nose","Mor1",172,"g__Haemophilus",0.042123007132163,0.115938542201644,0,0.991217320261438
"Nose","Mor1",172,"g__Staphylococcus",0.0368911668042827,0.110812097650411,0,0.697909068806224
"Nose","Mor23",12,"g__Moraxella",0.769599900998979,0.202058028510242,0.441954208319897,0.994920911333624
"Nose","Mor23",12,"g__Dolosigranulum",0.0882478973776455,0.0969850785132842,0,0.292758979096893
"Nose","Mor23",12,"g__Staphylococcus",0.037808057980898,0.0742357062903644,0,0.224973863042342
"Nose","Mor23",12,"g__Streptococcus",0.0293991274503074,0.0956414676068773,0,0.332724690606614
"Nose","Mor23",12,"g__Sphingomonas",0.0134951957862442,0.0465526962488857,0,0.16131892937762
"Nose","Nei6/Hae8",3,"g__Neisseria",0.252081882073656,0.0891896267091296,0.165332019218923,0.343525883426783
"Nose","Nei6/Hae8",3,"g__Streptococcus",0.166167079173225,0.128338291058475,0.0609215227300727,0.309140544102419
"Nose","Nei6/Hae8",3,"g__Haemophilus",0.121774183777794,0.111642763358319,0.0154518190116052,0.238068342276193
"Nose","Nei6/Hae8",3,"g__Veillonella",0.0580613822304962,0.0703886813549651,0.0146694484287391,0.13927559443144
"Nose","Nei6/Hae8",3,"g__Dolosigranulum",0.0571130525492241,0.0989227087906074,0,0.171339157647672
"Nose","Phy30",12,"g__Phyllobacterium",0.447764836309432,0.181962410989432,0.170128619574936,0.76911528150134
"Nose","Phy30",12,"g__Renibacterium",0.0866443508054199,0.0669174585024105,0,0.211471103327496
"Nose","Phy30",12,"g__",0.0688973225581754,0.0940349129818405,0,0.318231925362299
"Nose","Phy30",12,"g__Moraxella",0.0466075585963737,0.0844994053329927,0,0.199714167166106
"Nose","Phy30",12,"g__Ralstonia",0.0373959137057971,0.0891829120788155,0,0.267384276772818
"Nose","Pre11/Vei5",2,"g__Prevotella_7",0.254741114893551,0.160546258269325,0.141217766977184,0.368264462809917
"Nose","Pre11/Vei5",2,"g__Streptococcus",0.21890529061743,0.0809671178083959,0.161652892561983,0.276157688672877
"Nose","Pre11/Vei5",2,"g__Enhydrobacter",0.147438016528926,0.208508842584595,0,0.294876033057851
"Nose","Pre11/Vei5",2,"g__Veillonella",0.111583637100041,0.157803092925795,0,0.223167274200081
"Nose","Pre11/Vei5",2,"g__Prevotella",0.0556568111246119,0.0787106171308638,0,0.111313622249224
"Nose","Pre4/Vei5",8,"g__Prevotella_7",0.259411781922954,0.224164215993726,0,0.627784653465347
"Nose","Pre4/Vei5",8,"g__Streptococcus",0.153151670246986,0.0718029148562598,0,0.232844985457288
"Nose","Pre4/Vei5",8,"g__Neisseria",0.0932796553691561,0.0800317696482858,0,0.234463710296149
"Nose","Pre4/Vei5",8,"g__Haemophilus",0.0860503849385298,0.0997016081651556,0,0.260670004768717
"Nose","Pre4/Vei5",8,"g__Veillonella",0.0786735248952839,0.0793406438755309,0,0.220255126371006
"Nose","Pse14",7,"g__Pseudomonas",0.524513283931889,0.243700237547445,0.242664717552469,0.918070640554178
"Nose","Pse14",7,"g__Abiotrophia",0.100090123522239,0.264813575533581,0,0.700630864655675
"Nose","Pse14",7,"g__Streptococcus",0.0682368264529986,0.11903916527868,0,0.280884265279584
"Nose","Pse14",7,"g__Staphylococcus",0.0597157749014294,0.0975859924432691,0,0.271172825338536
"Nose","Pse14",7,"g__Bradyrhizobium",0.0574801659008381,0.152078224292353,0,0.402361161305867
"Nose","Sta2",142,"g__Staphylococcus",0.63006598731455,0.26513100647406,0,1
"Nose","Sta2",142,"g__Corynebacterium",0.0642664813293245,0.129088412044098,0,0.880957115397362
"Nose","Sta2",142,"g__Cutibacterium",0.0566594831197673,0.127219281230367,0,0.998351648351648
"Nose","Sta2",142,"g__Streptococcus",0.0294607403669177,0.0651950087717098,0,0.331547786862137
"Nose","Sta2",142,"g__",0.0264983849637148,0.0629873150151915,0,0.434442520997628
"Nose","Str13",13,"g__Streptococcus",0.71789105120996,0.186439053309202,0.475100942126514,0.990197079546615
"Nose","Str13",13,"g__Corynebacterium",0.0634619804721878,0.117747014072998,0,0.337954239569314
"Nose","Str13",13,"g__",0.0486546576134245,0.135315378945557,0,0.491747476746487
"Nose","Str13",13,"g__Moraxella",0.0451555002198219,0.0970701481771961,0,0.271431565709495
"Nose","Str13",13,"g__Staphylococcus",0.0338191103429545,0.0668316661052161,0,0.186944818304172
"Nose","Str3",11,"g__Streptococcus",0.593109673742689,0.230940236591147,0.318015283157123,0.999443155452436
"Nose","Str3",11,"g__Staphylococcus",0.0596919393829152,0.118436949605127,0,0.392756202240134
"Nose","Str3",11,"g__Corynebacterium",0.0440798422431756,0.11983984334598,0,0.396445255866402
