"ASV","Contaminant","Genus","Family","Order","Phylum","Kingdom"
"ASV_20945",TRUE,"g__Chitinophaga","f__Chitinophagaceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_20953",TRUE,"g__Chitinophaga","f__Chitinophagaceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_20970",TRUE,"g__","f__Chitinophagaceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_20983",TRUE,"g__Sediminibacterium","f__Chitinophagaceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_20985",TRUE,"g__Sediminibacterium","f__Chitinophagaceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_21020",TRUE,"g__Sediminibacterium","f__Chitinophagaceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_21028",TRUE,"g__Sediminibacterium","f__Chitinophagaceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_21040",TRUE,"g__","f__","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_21045",TRUE,"g__Sediminibacterium","f__Chitinophagaceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_21047",TRUE,"g__Chitinophaga","f__Chitinophagaceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_21068",TRUE,"g__","f__37-13","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_21074",TRUE,"g__","f__37-13","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_21095",TRUE,"g__Puia","f__Chitinophagaceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_21107",TRUE,"g__Pseudoflavitalea","f__Chitinophagaceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_21137",TRUE,"g__Terrimonas","f__Chitinophagaceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_21187",TRUE,"g__","f__","o__","p__Bacteroidota","k__Bacteria"
"ASV_21198",TRUE,"g__","f__","o__","p__Bacteroidota","k__Bacteria"
"ASV_21199",TRUE,"g__","f__","o__","p__Bacteroidota","k__Bacteria"
"ASV_21217",TRUE,"g__","f__","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_21233",TRUE,"g__","f__","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_21240",TRUE,"g__","f__Chitinophagaceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_21315",TRUE,"g__Edaphobaculum","f__Chitinophagaceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_21326",TRUE,"g__Edaphobaculum","f__Chitinophagaceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_21356",TRUE,"g__Chryseobacterium","f__Weeksellaceae","o__Flavobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_21377",TRUE,"g__Elizabethkingia","f__Weeksellaceae","o__Flavobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_21381",TRUE,"g__Bergeyella","f__Weeksellaceae","o__Flavobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_21388",TRUE,"g__Cloacibacterium","f__Weeksellaceae","o__Flavobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_21396",TRUE,"g__Chryseobacterium","f__Weeksellaceae","o__Flavobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_21408",TRUE,"g__Chryseobacterium","f__Weeksellaceae","o__Flavobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_21454",TRUE,"g__","f__NS9 marine group","o__Flavobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_21456",TRUE,"g__Chryseobacterium","f__Weeksellaceae","o__Flavobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_21474",TRUE,"g__Soonwooa","f__Weeksellaceae","o__Flavobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_21536",TRUE,"g__","f__","o__","p__","k__Bacteria"
"ASV_21651",TRUE,"g__Pseudarcicella","f__Spirosomaceae","o__Cytophagales","p__Bacteroidota","k__Bacteria"
"ASV_21678",TRUE,"g__Cytophaga","f__Cytophagaceae","o__Cytophagales","p__Bacteroidota","k__Bacteria"
"ASV_21694",TRUE,"g__Algoriphagus","f__Cyclobacteriaceae","o__Cytophagales","p__Bacteroidota","k__Bacteria"
"ASV_21727",TRUE,"g__Arcicella","f__Spirosomaceae","o__Cytophagales","p__Bacteroidota","k__Bacteria"
"ASV_21728",TRUE,"g__Flectobacillus","f__Spirosomaceae","o__Cytophagales","p__Bacteroidota","k__Bacteria"
"ASV_21776",TRUE,"g__","f__","o__","p__SAR324 clade(Marine group B)","k__Bacteria"
"ASV_21811",TRUE,"g__","f__","o__","p__SAR324 clade(Marine group B)","k__Bacteria"
"ASV_21816",TRUE,"g__","f__","o__0319-6G20","p__Bdellovibrionota","k__Bacteria"
"ASV_21829",TRUE,"g__","f__","o__0319-6G20","p__Bdellovibrionota","k__Bacteria"
